"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,0.738482,4.22356,0,0,2.5,-60,0,-60
0.02,0.740264,4.22048,0.00356371,0.05,2.5,-59.9995,0,-59.9971
0.04,0.742046,4.21739,0.00712741,0.1,2.5,-59.999,0,-59.9883
0.06,0.743828,4.21431,0.0106911,0.15,2.5,-59.9985,0,-59.9736
0.08,0.74561,4.21122,0.0142548,0.2,2.5,-59.998,0,-59.953
0.1,0.747391,4.20813,0.0178185,0.25,2.5,-59.9975,0,-59.9266
0.12,0.749173,4.20505,0.0213822,0.3,2.5,-59.9971,0,-59.8943
0.14,0.750955,4.20196,0.0249459,0.35,2.5,-59.9966,0,-59.8561
0.16,0.754937,4.19507,0.0329074,0.4,2.5,-59.9944,0,-59.8121
0.18,0.75924,4.18762,0.0415109,0.45,2.5,-59.992,0,-59.7622
0.2,0.763542,4.18017,0.0501144,0.5,2.5,-59.9895,0,-59.7064
0.22,0.769047,4.17064,0.0611189,0.55,2.5,-59.985,0,-59.6448
0.24,0.774655,4.16093,0.0723313,0.6,2.5,-59.9802,0,-59.5773
0.26,0.78095,4.15004,0.0849109,0.65,2.5,-59.9726,0,-59.5039
0.28,0.787606,4.13852,0.0982109,0.7,2.5,-59.9636,0,-59.4246
0.3,0.794936,4.12585,0.112849,0.75,2.5,-59.952,0,-59.3395
0.32,0.802546,4.1127,0.128046,0.8,2.5,-59.9392,0,-59.2485
0.34,0.810912,4.09825,0.144744,0.85,2.5,-59.9229,0,-59.1516
0.36,0.819679,4.08311,0.162232,0.9,2.5,-59.9036,0,-59.0488
0.38,0.828884,4.06724,0.180583,0.95,2.5,-59.8811,0,-58.9402
0.4,0.838678,4.05037,0.200091,1,2.5,-59.8544,0,-58.8257
0.42,0.849012,4.03258,0.220661,1.05,2.5,-59.8238,0,-58.7053
0.44,0.859828,4.01399,0.242166,1.1,2.5,-59.7886,0,-58.5791
0.46,0.871148,3.99457,0.264647,1.15,2.5,-59.748,0,-58.447
0.48,0.882984,3.9743,0.288125,1.2,2.5,-59.7023,0,-58.309
0.5,0.895343,3.95316,0.312608,1.25,2.5,-59.6511,0,-58.1652
0.52,0.908235,3.93117,0.338101,1.3,2.5,-59.5929,0,-58.0154
0.54,0.921662,3.90832,0.3646,1.35,2.5,-59.5276,0,-57.8599
0.56,0.935621,3.88463,0.392101,1.4,2.5,-59.4555,0,-57.6984
0.58,0.95012,3.8601,0.420595,1.45,2.5,-59.3749,0,-57.5311
0.6,0.965157,3.83474,0.450073,1.5,2.5,-59.2858,0,-57.3578
0.62,0.980725,3.80857,0.480526,1.55,2.5,-59.1888,0,-57.1788
0.64,0.996901,3.78152,0.512041,1.6,2.5,-59.0798,0,-56.9938
0.66,1.01364,3.75363,0.544573,1.65,2.5,-58.9613,0,-56.803
0.68,1.03094,3.72497,0.578052,1.7,2.5,-58.8319,0,-56.6063
0.7,1.04882,3.69549,0.612526,1.75,2.5,-58.6904,0,-56.4037
0.72,1.06732,3.66515,0.648062,1.8,2.5,-58.5364,0,-56.1953
0.74,1.08639,3.63409,0.684512,1.85,2.5,-58.3691,0,-55.981
0.76,1.10613,3.60216,0.722055,1.9,2.5,-58.1874,0,-55.7608
0.78,1.12646,3.56951,0.760512,1.95,2.5,-57.9909,0,-55.5348
0.8,1.14748,3.53602,0.80005,2,2.5,-57.7779,0,-55.3028
0.82,1.16912,3.50183,0.840516,2.05,2.5,-57.5486,0,-55.065
0.84,1.19148,3.46684,0.882037,2.1,2.5,-57.3005,0,-54.8214
0.86,1.21452,3.43113,0.924542,2.15,2.5,-57.034,0,-54.5718
0.88,1.23827,3.39471,0.968016,2.2,2.5,-56.7472,0,-54.3164
0.9,1.26277,3.35756,1.01252,2.25,2.5,-56.4392,0,-54.0552
0.92,1.28805,3.31971,1.05803,2.3,2.5,-56.1075,0,-53.788
0.94,1.31409,3.28118,1.10454,2.35,2.5,-55.7531,0,-53.515
0.96,1.34095,3.24201,1.15203,2.4,2.5,-55.3722,0,-53.2361
0.98,1.36864,3.2022,1.20053,2.45,2.5,-54.9657,0,-52.9513
1,1.39722,3.16179,1.25002,2.5,2.5,-54.5294,0,-52.6607
1.02,1.42667,3.12077,1.30052,2.55,2.5,-54.0642,0,-52.3642
1.04,1.45709,3.07921,1.35202,2.6,2.5,-53.5657,0,-52.0618
1.06,1.48845,3.03711,1.40452,2.65,2.5,-53.0348,0,-51.7535
1.08,1.52085,2.99453,1.45803,2.7,2.5,-52.4669,0,-51.4394
1.1,1.55427,2.95148,1.51253,2.75,2.5,-51.8628,0,-51.1194
1.12,1.58879,2.90803,1.56802,2.8,2.5,-51.2181,0,-50.7936
1.14,1.6244,2.86419,1.6245,2.85,2.5,-50.5338,0,-50.4618
1.16,1.66126,2.82004,1.68202,2.9,2.5,-49.8024,0,-50.1242
1.18,1.69931,2.7756,1.74052,2.95,2.5,-49.0272,0,-49.7807
1.2,1.73864,2.73097,1.80001,3,2.5,-48.2034,0,-49.4314
1.22,1.77931,2.68616,1.86052,3.05,2.5,-47.3299,0,-49.0762
1.24,1.82136,2.64128,1.92202,3.1,2.5,-46.404,0,-48.7151
1.26,1.86483,2.59639,1.98451,3.15,2.5,-45.4251,0,-48.3481
1.28,1.9098,2.55155,2.04802,3.2,2.5,-44.3912,0,-47.9753
1.3,1.95632,2.50688,2.11251,3.25,2.5,-43.3008,0,-47.5966
1.32,2.00443,2.46243,2.17801,3.3,2.5,-42.1542,0,-47.212
1.34,2.05419,2.41831,2.24452,3.35,2.5,-40.9509,0,-46.8215
1.36,2.10563,2.37464,2.312,3.4,2.5,-39.692,0,-46.4252
1.38,2.15885,2.3315,2.38051,3.45,2.5,-38.378,0,-46.023
1.4,2.21384,2.28899,2.45002,3.5,2.5,-37.0128,0,-45.6149
