"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,0.75,4.44,0,0,2,-60,0,-60
0.02,0.751594,4.43724,0.00318748,0.04,2,-59.9998,0,-59.9967
0.04,0.753188,4.43448,0.00637495,0.08,2,-59.9996,0,-59.9868
0.06,0.754781,4.43172,0.00956243,0.12,2,-59.9993,0,-59.9704
0.08,0.756375,4.42896,0.0127499,0.16,2,-59.9991,0,-59.9474
0.1,0.757969,4.4262,0.0159374,0.2,2,-59.9989,0,-59.9178
0.12,0.759563,4.42344,0.0191249,0.24,2,-59.9987,0,-59.8816
0.14,0.761156,4.42068,0.0223123,0.28,2,-59.9984,0,-59.8389
0.16,0.762821,4.41779,0.0256409,0.32,2,-59.9982,0,-59.7896
0.18,0.766669,4.41113,0.0333362,0.36,2,-59.9971,0,-59.7337
0.2,0.770517,4.40447,0.0410314,0.4,2,-59.996,0,-59.6712
0.22,0.774365,4.3978,0.0487267,0.44,2,-59.9949,0,-59.6022
0.24,0.779066,4.38966,0.0581266,0.48,2,-59.9931,0,-59.5265
0.26,0.784081,4.38098,0.0681553,0.52,2,-59.9909,0,-59.4443
0.28,0.789281,4.37197,0.0785533,0.56,2,-59.9884,0,-59.3555
0.3,0.795232,4.36167,0.0904491,0.6,2,-59.9843,0,-59.2602
0.32,0.801234,4.35129,0.102446,0.64,2,-59.98,0,-59.1583
0.34,0.80799,4.3396,0.115948,0.68,2,-59.9744,0,-59.0498
0.36,0.814877,4.32768,0.12971,0.72,2,-59.9684,0,-58.9347
0.38,0.822352,4.31475,0.144645,0.76,2,-59.9611,0,-58.813
0.4,0.830143,4.30128,0.160208,0.8,2,-59.9524,0,-58.6848
0.42,0.838277,4.28722,0.176449,0.84,2,-59.9423,0,-58.55
0.44,0.846969,4.27221,0.193798,0.88,2,-59.9303,0,-58.4086
0.46,0.855974,4.25666,0.211767,0.92,2,-59.9172,0,-58.2606
0.48,0.865336,4.24049,0.230445,0.96,2,-59.9027,0,-58.1061
0.5,0.87519,4.2235,0.250087,1,2,-59.8851,0,-57.945
0.52,0.885455,4.20582,0.270537,1.04,2,-59.8656,0,-57.7773
0.54,0.896101,4.18748,0.291738,1.08,2,-59.8442,0,-57.603
0.56,0.907145,4.16848,0.313716,1.12,2,-59.8202,0,-57.4222
0.58,0.918598,4.1488,0.336488,1.16,2,-59.7932,0,-57.2348
0.6,0.930465,4.12843,0.360063,1.2,2,-59.7636,0,-57.0408
0.62,0.942748,4.10736,0.384448,1.24,2,-59.7313,0,-56.8402
0.64,0.955456,4.08561,0.409643,1.28,2,-59.6949,0,-56.6331
0.66,0.968586,4.06316,0.435647,1.32,2,-59.6553,0,-56.4194
0.68,0.982137,4.04003,0.462456,1.36,2,-59.6122,0,-56.1991
0.7,0.996116,4.01622,0.490068,1.4,2,-59.5646,0,-55.9722
0.72,1.01052,3.99173,0.518475,1.44,2,-59.513,0,-55.7387
0.74,1.02534,3.96658,0.547673,1.48,2,-59.4572,0,-55.4987
0.76,1.04059,3.94076,0.577654,1.52,2,-59.3963,0,-55.2521
0.78,1.05626,3.9143,0.608412,1.56,2,-59.3311,0,-54.9989
0.8,1.07241,3.8871,0.64004,1.6,2,-59.2598,0,-54.7392
0.82,1.08901,3.85925,0.67246,1.64,2,-59.1829,0,-54.4728
0.84,1.10602,3.83077,0.705639,1.68,2,-59.1007,0,-54.1999
0.86,1.1235,3.80162,0.739623,1.72,2,-59.0118,0,-53.9205
0.88,1.14145,3.77178,0.774452,1.76,2,-58.9165,0,-53.6344
0.9,1.15984,3.74133,0.81002,1.8,2,-58.8144,0,-53.3418
0.92,1.17873,3.71019,0.846442,1.84,2,-58.7049,0,-53.0426
0.94,1.19808,3.67843,0.883631,1.88,2,-58.5877,0,-52.7368
0.96,1.21793,3.64602,0.921635,1.92,2,-58.4624,0,-52.4244
0.98,1.23825,3.61298,0.960426,1.96,2,-58.3289,0,-52.1055
1,1.25909,3.5793,1.00004,2,2,-58.186,0,-51.78
1.02,1.28041,3.54502,1.04041,2.04,2,-58.0346,0,-51.4479
1.04,1.3023,3.51007,1.08164,2.08,2,-57.8721,0,-51.1092
1.06,1.32468,3.47454,1.12363,2.12,2,-57.7003,0,-50.764
1.08,1.3476,3.43842,1.16641,2.16,2,-57.517,0,-50.4121
1.1,1.37109,3.40166,1.21003,2.2,2,-57.3223,0,-50.0538
1.12,1.39513,3.36434,1.25443,2.24,2,-57.1153,0,-49.6888
1.14,1.41973,3.32643,1.29962,2.28,2,-56.8964,0,-49.3172
1.16,1.44492,3.28796,1.3456,2.32,2,-56.6635,0,-48.9391
1.18,1.47073,3.24891,1.39242,2.36,2,-56.4167,0,-48.5544
1.2,1.49716,3.20931,1.44002,2.4,2,-56.1548,0,-48.1631
1.22,1.52421,3.16917,1.48843,2.44,2,-55.8777,0,-47.7653
1.24,1.55192,3.12851,1.53763,2.48,2,-55.5842,0,-47.3609
1.26,1.58029,3.08734,1.58763,2.52,2,-55.2735,0,-46.9499
1.28,1.60934,3.04567,1.63842,2.56,2,-54.9448,0,-46.5323
