"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,7.77887,0.5,0,0,4,165,0,-15
0.02,7.77452,0.501167,0.00450777,0.08,4,165,0,-15.0038
0.04,7.77016,0.502333,0.00901554,0.16,4,165,0,-15.015
0.06,7.76581,0.5035,0.0135233,0.24,4,165,0,-15.0338
0.08,7.76145,0.504667,0.0180311,0.32,4,165,0,-15.0601
0.1,7.7571,0.505833,0.0225389,0.4,4,165,0,-15.0939
0.12,7.7505,0.507603,0.0293753,0.48,4,165.001,0,-15.1353
0.14,7.73998,0.510419,0.040258,0.56,4,165.001,0,-15.1841
0.16,7.72937,0.513262,0.0512441,0.64,4,165.002,0,-15.2405
0.18,7.71567,0.516932,0.0654267,0.72,4,165.003,0,-15.3044
0.2,7.70136,0.520766,0.0802441,0.8,4,165.005,0,-15.3758
0.22,7.68511,0.525119,0.0970674,0.88,4,165.007,0,-15.4547
0.24,7.66726,0.5299,0.11555,0.96,4,165.01,0,-15.5411
0.26,7.64803,0.535049,0.135457,1.04,4,165.013,0,-15.6351
0.28,7.62727,0.540604,0.156944,1.12,4,165.017,0,-15.7365
0.3,7.60493,0.546582,0.180069,1.2,4,165.022,0,-15.8455
0.32,7.581,0.552985,0.204845,1.28,4,165.028,0,-15.962
0.34,7.55547,0.559808,0.231263,1.36,4,165.035,0,-16.086
0.36,7.52839,0.567046,0.2593,1.44,4,165.043,0,-16.2175
0.38,7.49976,0.574691,0.28893,1.52,4,165.052,0,-16.3565
0.4,7.46962,0.582734,0.320122,1.6,4,165.063,0,-16.5031
0.42,7.43801,0.591166,0.352845,1.68,4,165.074,0,-16.6572
0.44,7.40474,0.60003,0.387276,1.76,4,165.088,0,-16.8187
0.46,7.36994,0.609292,0.423286,1.84,4,165.102,0,-16.9878
0.48,7.33364,0.618943,0.460842,1.92,4,165.118,0,-17.1645
0.5,7.29573,0.629012,0.50007,2,4,165.135,0,-17.3486
0.52,7.2563,0.639471,0.540861,2.08,4,165.153,0,-17.5402
0.54,7.21536,0.650316,0.583211,2.16,4,165.173,0,-17.7394
0.56,7.17278,0.661579,0.627255,2.24,4,165.193,0,-17.9461
0.58,7.12869,0.673225,0.67286,2.32,4,165.215,0,-18.1603
0.6,7.08306,0.68526,0.720051,2.4,4,165.236,0,-18.382
0.62,7.03588,0.697684,0.768841,2.48,4,165.259,0,-18.6112
0.64,6.98714,0.710498,0.819237,2.56,4,165.281,0,-18.8479
0.66,6.93684,0.723701,0.871239,2.64,4,165.302,0,-19.0922
0.68,6.88499,0.737291,0.924842,2.72,4,165.323,0,-19.3439
0.7,6.83159,0.751268,0.98004,2.8,4,165.342,0,-19.6032
0.72,6.77665,0.765628,1.03682,2.88,4,165.359,0,-19.87
0.74,6.72015,0.78038,1.09522,2.96,4,165.373,0,-20.1443
0.76,6.66208,0.79553,1.15523,3.04,4,165.383,0,-20.4262
0.78,6.60249,0.811066,1.21681,3.12,4,165.387,0,-20.7155
0.8,6.54132,0.827016,1.28003,3.2,4,165.385,0,-21.0124
0.82,6.47864,0.843364,1.34481,3.28,4,165.375,0,-21.3167
0.84,6.41437,0.860146,1.41123,3.36,4,165.355,0,-21.6286
0.86,6.3486,0.877354,1.47922,3.44,4,165.322,0,-21.948
0.88,6.28129,0.89501,1.5488,3.52,4,165.276,0,-22.275
0.9,6.21242,0.913147,1.62002,3.6,4,165.212,0,-22.6094
0.92,6.14205,0.931782,1.69282,3.68,4,165.127,0,-22.9514
0.94,6.07016,0.950945,1.76722,3.76,4,165.017,0,-23.3008
0.96,5.99678,0.970672,1.8432,3.83349,0.982081,164.88,0,-23.6578
0.98,5.92269,0.990805,1.91998,3.84,0,164.711,0,-24.0223
1,5.84864,1.01118,1.99678,3.84,0,164.51,0,-24.3943
1.02,5.77467,1.03184,2.07358,3.84,0,164.273,0,-24.7739
1.04,5.7008,1.05283,2.15038,3.84,0,163.996,0,-25.1609
1.06,5.62703,1.07421,2.22718,3.84,0,163.677,0,-25.5555
1.08,5.5534,1.09602,2.30398,3.84,0,163.314,0,-25.9573
1.1,5.47991,1.11833,2.38078,3.84,0,162.903,0,-26.3613
1.12,5.40659,1.14118,2.45758,3.84,0,162.444,0,-26.7652
1.14,5.33347,1.16468,2.53438,3.84,0,161.933,0,-27.1692
1.16,5.26057,1.18885,2.61118,3.84,0,161.371,0,-27.5731
1.18,5.18793,1.21377,2.68798,3.84,0,160.758,0,-27.9771
1.2,5.11557,1.23949,2.76478,3.84,0,160.096,0,-28.381
1.22,5.04352,1.26608,2.84158,3.84,0,159.388,0,-28.785
1.24,4.97181,1.29358,2.91838,3.84,0,158.637,0,-29.1889
1.26,4.90048,1.32204,2.99518,3.84,0,157.847,0,-29.5883
1.28,4.82956,1.35151,3.07198,3.84,0,157.026,0,-29.9801
1.3,4.75907,1.382,3.14878,3.84,0,156.18,0,-30.3644
1.32,4.68905,1.41354,3.22558,3.84,0,155.315,0,-30.7412
1.34,4.61951,1.44614,3.30238,3.84,0,154.44,0,-31.1105
1.36,4.55048,1.4798,3.37918,3.84,0,153.563,0,-31.4723
1.38,4.48197,1.51451,3.45598,3.84,0,152.691,0,-31.8266
1.4,4.414,1.55026,3.53278,3.84,0,151.832,0,-32.1733
